"title","description","audienceRoleIds","channels","attachments","citizenReactions","comments"
"आपदा प्रबंधन प्रशिक्षण","आपदा प्रबंधन के लिए विशेष प्रशिक्षण कार्यक्रम की घोषणा की गई है।","FIELD_OFFICER","[""posts"",""whatsapp""]","[""disaster_management_training.pdf""]","[""आपदा प्रबंधन महत्वपूर्ण है।""]","[""हम इसमें भाग लेंगे।""]"
"नारी सशक्तिकरण योजना","महिलाओं के सशक्तिकरण के लिए नई योजना की घोषणा की गई है।","ADMIN","[""email"",""posts""]","[""women_empowerment_scheme.pdf""]","[""महिलाओं के लिए अच्छा कदम।""]","[""हम इसका समर्थन करते हैं।""]"
"स्वास्थ्य बीमा योजना","नागरिकों के लिए नई स्वास्थ्य बीमा योजना की घोषणा की गई है।","DEPARTMENT_HEAD","[""message"",""email""]","[""health_insurance_scheme.pdf""]","[""स्वास्थ्य के लिए अच्छा कदम।""]","[""हम इसमें भाग लेंगे।""]"
"कृषि तकनीक प्रशिक्षण","किसानों के लिए नई कृषि तकनीक प्रशिक्षण कार्यक्रम की घोषणा की गई है।","FIELD_OFFICER","[""posts"",""whatsapp""]","[""agriculture_technology_training.pdf""]","[""किसानों के लिए अच्छा अवसर।""]","[""हम इसमें भाग लेंगे।""]"
"शहरी विकास योजना","शहरी क्षेत्रों के विकास के लिए नई योजना की घोषणा की गई है।","ADMIN","[""email"",""posts""]","[""urban_development_scheme.pdf""]","[""शहरों के लिए अच्छा कदम।""]","[""हम इसका समर्थन करते हैं।""]"
"ग्रामीण सड़क निर्माण","ग्रामीण क्षेत्रों में नई सड़कों के निर्माण की घोषणा की गई है।","DEPARTMENT_HEAD","[""message"",""email""]","[""rural_road_construction_plan.pdf""]","[""ग्रामीण क्षेत्रों के लिए अच्छा कदम।""]","[""हम इसका समर्थन करते हैं।""]"
"मुख्यमंत्री युवा स्वरोजगार योजना का शुभारंभ","उत्तर प्रदेश सरकार ने शिक्षित बेरोजगार युवाओं के लिए मुख्यमंत्री युवा स्वरोजगार योजना की शुरुआत की है।","DEPARTMENT_HEAD","message,email,posts,whatsapp","{'brochure': 'mysy_brochure.pdf'}","{'likes': 1500, 'shares': 300}","'बहुत अच्छी पहल!' - अमित कुमार"
"कस्तूरबा गांधी बालिका विद्यालय में रिक्त पदों की सूचना","कस्तूरबा गांधी बालिका विद्यालयों में रिक्त पदों के लिए आवेदन आमंत्रित किए जाते हैं।","ADMIN","email,posts","{'application_form': 'kgv_application_form.pdf'}","{'likes': 800, 'shares': 150}","'महिलाओं के लिए अच्छा अवसर।' - स्नेहा वर्मा"
"बुंदेलखंड एक्सप्रेसवे परियोजना भूमि अधिग्रहण अधिसूचना","बुंदेलखंड एक्सप्रेसवे परियोजना के लिए भूमि अधिग्रहण की अधिसूचना जारी की गई है।","FIELD_OFFICER","message,email","{'notification': 'bundelkhand_land_acquisition.pdf'}","{'likes': 1200, 'shares': 250}","'विकास के लिए महत्वपूर्ण कदम।' - राजेश सिंह"
"शहरी आशा चयन हेतु विज्ञापन","शहरी क्षेत्रों में आशा कार्यकर्ताओं के चयन के लिए आवेदन आमंत्रित किए जाते हैं।","DEPARTMENT_HEAD","email,posts,whatsapp","{'advertisement': 'urban_asha_selection.pdf'}","{'likes': 900, 'shares': 200}","'स्वास्थ्य सेवाओं में सुधार के लिए आवश्यक।' - कविता मिश्रा"
"मुख्य चिकित्सा अधिकारी द्वारा संविदा दंत चिकित्सकों के साक्षात्कार की सूचना","संविदा दंत चिकित्सकों के साक्षात्कार की तिथि की घोषणा की गई है।","ADMIN","email,posts","{'interview_schedule': 'dental_contract_interview.pdf'}","{'likes': 600, 'shares': 100}","'उम्मीदवारों के लिए महत्वपूर्ण सूचना।' - विकास यादव"
"अटल आवासीय विद्यालय में कंप्यूटर शिक्षक गेस्ट फैकल्टी के लिए साक्षात्कार","अटल आवासीय विद्यालय में कंप्यूटर शिक्षक गेस्ट फैकल्टी के लिए साक्षात्कार की तिथि घोषित की गई है।","DEPARTMENT_HEAD","message,email,posts","{'interview_list': 'atal_school_computer_faculty.pdf'}","{'likes': 700, 'shares': 120}","'शिक्षकों के लिए अच्छा अवसर।' - प्रिया शर्मा"
"उपखनिज निस्तारण के लिए ई-निविदा आमंत्रण","जनपद बस्ती में उपखनिज निस्तारण के लिए ई-निविदा आमंत्रित की जाती हैं।","FIELD_OFFICER","email,posts","{'tender_notice': 'basti_mineral_e_tender.pdf'}","{'likes': 500, 'shares': 80}","'उद्योगपतियों के लिए महत्वपूर्ण सूचना।' - अनिल अग्रवाल"
"लोकसभा सामान्य निर्वाचन 2024 की दर सूची","लोकसभा सामान्य निर्वाचन 2024 के लिए दर सूची जारी की गई है।","ADMIN","message,email","{'rate_list': 'lok_sabha_election_rates.pdf'}","{'likes': 1100, 'shares': 210}","'चुनाव प्रक्रिया के लिए आवश्यक जानकारी।' - सुरेश चौधरी"
"जिला सर्वेक्षण रिपोर्ट ड्राफ्ट जारी","जिला सर्वेक्षण रिपोर्ट का ड्राफ्ट जारी किया गया है।","DEPARTMENT_HEAD","email,posts","{'survey_report': 'district_survey_draft.pdf'}","{'likes': 650, 'shares': 130}","'विकास योजनाओं के लिए उपयोगी।' - नीतू सिंह"
"आबकारी विभाग ई-लॉटरी परिणाम 2023-24","आबकारी विभाग की ई-लॉटरी के परिणाम घोषित किए गए हैं।","FIELD_OFFICER","message,email,posts","{'lottery_results': 'excise_e_lottery_results.pdf'}","{'likes': 950, 'shares': 180}","'उम्मीदवारों के लिए महत्वपूर्ण सूचना।' - दीपक गुप्ता"
"अटल आवासीय विद्यालय प्रवेश परीक्षा परिणाम","अटल आवासीय विद्यालय की प्रवेश परीक्षा के परिणाम घोषित किए गए हैं।","ADMIN","email,posts","{'exam_results': 'atal_school_admission_results.pdf'}","{'likes': 1000, 'shares': 190}","'छात्रों के लिए खुशी की खबर।' - राधा पांडे"
"कस्तूरबा गांधी आवासीय बालिका विद्यालय में रिक्त पदों की सूचना","कस्तूरबा गांधी आवासीय बालिका विद्यालय में संविदा आधार पर रिक्त पदों के लिए आवेदन आमंत्रित किए जाते हैं।","DEPARTMENT_HEAD","message,email,posts","{'vacancy_notice': 'kg_avasiya_vacancies.pdf'}","{'likes': 850, 'shares': 160}","'महिला सशक्तिकरण की दिशा में कदम।' - पूजा सिंह"
"जिला सर्वेक्षण रिपोर्ट ड्राफ्ट जारी","जिला सर्वेक्षण रिपोर्ट का ड्राफ्ट जारी किया गया है।","FIELD_OFFICER","email,posts","{'survey_report': 'district_survey_draft.pdf'}","{'likes': 700, 'shares': 140}","'विकास योजनाओं के लिए उपयोगी।' - नीतू सिंह"
"आबकारी विभाग ई-लॉटरी परिणाम 2023-24","आबकारी विभाग की ई-लॉटरी के परिणाम घोषित किए गए हैं।","ADMIN","message,email,posts","{'lottery_results': 'excise_e_lottery_results.pdf'}","{'likes': 950, 'shares': 180}","'उम्मीदवारों के लिए महत्वपूर्ण सूचना।' - दीपक गुप्ता"
"अटल आवासीय विद्यालय प्रवेश परीक्षा परिणाम","अटल आवासीय विद्यालय की प्रवेश परीक्षा के परिणाम घोषित किए गए हैं।","DEPARTMENT_HEAD","email,posts","{'exam_results': 'atal_school_admission_results.pdf'}","{'likes': 1000, 'shares': 190}","'छात्रों के लिए खुशी की खबर।' - राधा पांडे"
 
 
